"type","Quantity","values"
Mohn,SSB,-0.745161275594227
Mohn,Recruitment,-0.427209237895786
Mohn,Fraction unfished,-0.471141434363454
Mohn,F,1.38097085104116
NEFSC,SSB,-0.199343798293542
NEFSC,Recruitment,-0.247149305501296
NEFSC,Fraction unfished,0.113036097877194
NEFSC,F,0.224923995702768
AFSC,SSB,-0.149032255118845
AFSC,Recruitment,-0.0854418475791572
AFSC,F,0.276194170208231
AFSC,Fraction unfished,-0.0942282868726908
