"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.10, -0.30, -0.35, -0.54, and -0.75 for SSB.","RetroSsb","../C:/Users/Jason.Cope/Desktop/Black rockfish 2022/Models/WA/2023/Runs/Retro/WA_Reference_post_STAR_retro_5_yr_peel/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.08, -0.21, -0.20, -0.33, and -0.47 for fraction unfished.","RetroFractionunfished","../C:/Users/Jason.Cope/Desktop/Black rockfish 2022/Models/WA/2023/Runs/Retro/WA_Reference_post_STAR_retro_5_yr_peel/compare4_Bratio_uncertainty.png"
