Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1998,535.582,55.6349,426.537596,644.626404,0.395022,0.038451,0.31965804,0.47038596,324
1999,553.562,57.7384,440.394736,666.729264,0.408282,0.0397511,0.330369844,0.486194156,324
2000,576.549,59.0802,460.751808,692.346192,0.425237,0.0403917,0.346069268,0.504404732,324
2001,590.827,59.5561,474.097044,707.556956,0.435768,0.0403867,0.356610068,0.514925932,324
2002,603.938,59.53,487.2592,720.6168,0.445438,0.0399901,0.367057404,0.523818596,324
2003,606.282,59.0197,490.603388,721.960612,0.447166,0.0392912,0.370155248,0.524176752,324
2004,603.433,58.1436,489.471544,717.394456,0.445065,0.0383493,0.369900372,0.520229628,324
2005,593.925,57.0372,482.132088,705.717912,0.438052,0.0373108,0.364922832,0.511181168,324
2006,575.956,55.9425,466.3087,685.6033,0.424799,0.0364229,0.353410116,0.496187884,324
2007,563.683,55.2932,455.308328,672.057672,0.415747,0.0358877,0.345407108,0.486086892,324
2008,557.159,55.0201,449.319604,664.998396,0.410936,0.0355993,0.341161372,0.480710628,324
2009,557.678,54.7913,450.287052,665.068948,0.411318,0.0352308,0.342265632,0.480370368,324
2010,550.631,54.3021,444.198884,657.063116,0.406121,0.034725,0.33806,0.474182,324
2011,549.699,53.9822,443.893888,655.504112,0.405434,0.0342989,0.338208156,0.472659844,324
2012,552.12,54.0492,446.183568,658.056432,0.407219,0.0341669,0.340251876,0.474186124,324
2013,556.614,54.749,449.30596,663.92204,0.410533,0.0345528,0.342809512,0.478256488,324
2014,567.002,56.4154,456.427816,677.576184,0.418195,0.035658,0.34830532,0.48808468,324
2015,582.254,59.0546,466.506984,698.001016,0.429445,0.0374393,0.356063972,0.502826028,324
1940,1200.6,55.7632,1091.304128,1309.895872,1,2.98E-19,1,1,330_est
1941,1194.82,55.5853,1085.872812,1303.767188,0.99518,0.000143914,0.994897929,0.995462071,330_est
1942,1182.88,55.2067,1074.674868,1291.085132,0.985241,0.000433245,0.98439184,0.98609016,330_est
1943,1160.81,54.4967,1053.996468,1267.623532,0.966858,0.000966588,0.964963488,0.968752512,330_est
1944,1092.18,52.3408,989.592032,1194.767968,0.909693,0.00260757,0.904582163,0.914803837,330_est
1945,993.077,49.1866,896.671264,1089.482736,0.827149,0.0048845,0.81757538,0.83672262,330_est
1946,849.178,44.593,761.77572,936.58028,0.707294,0.00792375,0.69176345,0.72282455,330_est
1947,791.288,42.2154,708.545816,874.030184,0.659076,0.00890728,0.641617731,0.676534269,330_est
1948,755.471,40.4602,676.169008,834.772992,0.629244,0.00954737,0.610531155,0.647956845,330_est
1949,746.569,39.5332,669.083928,824.054072,0.621829,0.00985813,0.602507065,0.641150935,330_est
1950,727.587,38.4497,652.225588,802.948412,0.606019,0.0104632,0.585511128,0.626526872,330_est
1951,726.073,37.9434,651.703936,800.442064,0.604757,0.0108778,0.583436512,0.626077488,330_est
1952,732.911,37.7735,658.87494,806.94706,0.610453,0.0112329,0.588436516,0.632469484,330_est
1953,729.302,37.4425,655.9147,802.6893,0.607447,0.0117217,0.584472468,0.630421532,330_est
1954,735.815,37.4521,662.408884,809.221116,0.612872,0.0120718,0.589211272,0.636532728,330_est
1955,737.439,37.4154,664.104816,810.773184,0.614224,0.0124377,0.589846108,0.638601892,330_est
1956,734.535,37.3553,661.318612,807.751388,0.611806,0.0128599,0.586600596,0.637011404,330_est
1957,741.268,37.7353,667.306812,815.229188,0.617414,0.0134965,0.59096086,0.64386714,330_est
1958,725.691,38.4354,650.357616,801.024384,0.60444,0.0156952,0.573677408,0.635202592,330_est
1959,699.827,40.6328,620.186712,779.467288,0.582897,0.0202936,0.543121544,0.622672456,330_est
