"","Label","Type","0- Reference model","01- Est M","02- Lorenzen M","03- fix growth","04- fix growth Est M","05- Est Lmin","06- fix t0=0","07- Est CVlts","08- bio mat ogive","09- Fxnal mat ogive","10- Fec = ltwt","11- No rec devs","12- Full rec devs","13- Domed sel est"
"52",NA,"Recreational",1870.41,1867.32,1878.1,3019.72,2939.51,1870.25,1735.71,1705.51,1870.16,1870.41,1870.32,1940.83,1870.13,1871.62
"53",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",NA,"Private_Boat",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",NA,"Charter",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.17,0.15702,NA,0.17,0.104049,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",52.7262,52.6777,52.7295,51.19,51.19,52.7282,51.9897,52.4968,52.7282,52.7248,52.7276,52.7508,52.7299,52.7765
"74",NA,"VonBert_K_Fem_GP_1",0.117701,0.117729,0.117486,0.1513,0.1513,0.117712,0.164057,0.122056,0.117708,0.117704,0.117689,0.117197,0.117691,0.117696
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0135346,0.1,0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.114709,0.1,0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,5.24556e-05,1.41e-08,1.41e-08,1.41e-08
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,2.72122,4.685,4.685,4.685
"83",NA,"NatM_uniform_Mal_GP_1",0.152,0.125744,NA,0.152,0.107929,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
"84",NA,"L_at_Amin_Mal_GP_1",3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,0,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
"85",NA,"L_at_Amax_Mal_GP_1",47.6462,47.6494,47.7205,47.26,47.26,47.6487,46.7778,47.9752,47.6361,47.6445,47.6445,47.6572,47.6435,47.705
"86",NA,"VonBert_K_Mal_GP_1",0.140309,0.141133,0.139516,0.1656,0.1656,0.140304,0.220565,0.146577,0.140407,0.140318,0.140302,0.139965,0.140305,0.140202
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.101827,0.1,0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0697185,0.1,0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
"91",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"93",NA,"SR_LN(R0)",7.58754,7.26938,8.23766,8.03466,6.68461,7.60095,7.69478,7.58446,7.56367,7.58738,7.56865,7.42477,7.55643,7.61081
"94",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"95",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"96",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",NA,"Main_RecrDev_1956",-0.546011,-0.788815,-0.632411,-0.706697,-1.20344,-0.568481,-0.565611,-0.592661,-0.52523,-0.545695,-0.524664,NA,-0.344008,-0.583708
"99",NA,"Main_RecrDev_1957",-0.560845,-0.78711,-0.635586,-0.716284,-1.17889,-0.582354,-0.581251,-0.605464,-0.540119,-0.560537,-0.539951,NA,-0.379986,-0.597156
"100",NA,"Main_RecrDev_1958",-0.557158,-0.764957,-0.619147,-0.707015,-1.13,-0.577628,-0.586952,-0.598963,-0.536515,-0.556859,-0.536781,NA,-0.397444,-0.591971
"101",NA,"Main_RecrDev_1959",-0.527038,-0.715305,-0.575333,-0.672001,-1.04716,-0.546456,-0.557489,-0.566015,-0.506293,-0.526746,-0.507164,NA,-0.386684,-0.560389
"102",NA,"Main_RecrDev_1960",-0.465995,-0.63403,-0.499417,-0.6085,-0.933524,-0.484365,-0.503694,-0.502253,-0.444679,-0.465706,-0.446514,NA,-0.342896,-0.498021
"103",NA,"Main_RecrDev_1961",-0.375566,-0.522738,-0.392207,-0.520944,-0.782098,-0.3929,-0.430306,-0.407608,-0.353015,-0.375271,-0.356277,NA,-0.267492,-0.406504
"104",NA,"Main_RecrDev_1962",-0.275133,-0.400433,-0.272479,-0.427897,-0.612497,-0.291475,-0.347649,-0.301381,-0.250733,-0.274829,-0.255759,NA,-0.179513,-0.305187
"105",NA,"Main_RecrDev_1963",-0.225241,-0.328342,-0.205102,-0.371995,-0.471657,-0.240863,-0.299483,-0.252884,-0.199281,-0.224938,-0.205727,NA,-0.137796,-0.254291
"106",NA,"Main_RecrDev_1964",-0.277368,-0.362633,-0.251678,-0.395871,-0.448199,-0.292873,-0.330754,-0.311436,-0.251463,-0.27709,-0.258034,NA,-0.191771,-0.30539
"107",NA,"Main_RecrDev_1965",-0.337805,-0.409109,-0.310254,-0.435325,-0.470298,-0.353328,-0.380547,-0.365299,-0.312255,-0.337552,-0.318574,NA,-0.252935,-0.365129
"108",NA,"Main_RecrDev_1966",-0.312583,-0.371689,-0.281955,-0.400081,-0.433268,-0.328015,-0.35938,-0.328366,-0.287353,-0.312351,-0.293352,NA,-0.229805,-0.339349
"109",NA,"Main_RecrDev_1967",-0.106411,-0.148375,-0.0658978,-0.224518,-0.299714,-0.121383,-0.155465,-0.112343,-0.0805914,-0.106177,-0.0867969,NA,-0.0298037,-0.132981
"110",NA,"Main_RecrDev_1968",0.151169,0.159048,0.246725,0.154695,0.481189,0.138122,0.0985667,0.116029,0.180728,0.151414,0.172138,NA,0.209721,0.127432
"111",NA,"Main_RecrDev_1969",-0.141867,-0.15885,-0.0943967,-0.169898,-0.196642,-0.156458,-0.170681,-0.152845,-0.119606,-0.141659,-0.12316,NA,-0.0714777,-0.166383
"112",NA,"Main_RecrDev_1970",-0.170758,-0.17162,-0.115776,-0.227883,-0.235686,-0.184939,-0.216288,-0.188798,-0.149183,-0.17055,-0.152355,NA,-0.10613,-0.195114
"113",NA,"Main_RecrDev_1971",0.0167988,0.0659178,0.113791,0.0450281,0.446962,0.00439098,-0.0468517,-0.0078728,0.0400082,0.0169809,0.0353145,NA,0.0635004,-0.0046337
"114",NA,"Main_RecrDev_1972",-0.0747104,-0.0560738,-0.0169533,-0.0399907,0.0198363,-0.0882932,-0.127332,-0.0508962,-0.0564588,-0.0745928,-0.058068,NA,-0.017613,-0.0960916
"115",NA,"Main_RecrDev_1973",0.314663,0.372174,0.393071,0.290336,0.508958,0.302152,0.223289,0.321462,0.332791,0.314781,0.330914,NA,0.358534,0.293943
"116",NA,"Main_RecrDev_1974",0.386629,0.462463,0.487101,0.541338,0.918618,0.375434,0.338649,0.355988,0.403687,0.386593,0.401672,NA,0.422205,0.372395
"117",NA,"Main_RecrDev_1975",-0.246232,-0.213231,-0.211893,-0.282722,-0.26941,-0.259297,-0.261787,-0.183872,-0.232655,-0.246225,-0.232352,NA,-0.19493,-0.264141
"118",NA,"Main_RecrDev_1976",0.0324192,0.123263,0.138834,0.161192,0.536249,0.0217785,-0.0792902,-0.00583662,0.0474636,0.0323996,0.0455589,NA,0.0629902,0.0190893
"119",NA,"Main_RecrDev_1977",-0.0788472,-0.0125819,-0.0148204,-0.00639552,0.2145,-0.0905064,-0.21195,-0.0620215,-0.0671912,-0.0788549,-0.0671403,NA,-0.0387712,-0.0939797
"120",NA,"Main_RecrDev_1978",0.373127,0.468116,0.454923,0.413361,0.737109,0.362724,0.242957,0.391001,0.38337,0.373089,0.383509,NA,0.403141,0.360366
"121",NA,"Main_RecrDev_1979",0.0716554,0.158392,0.141554,0.147388,0.430211,0.0612408,-0.0386176,0.09218,0.0799975,0.0716035,0.0808935,NA,0.104783,0.0603668
"122",NA,"Main_RecrDev_1980",-0.105198,-0.0139521,-0.0437418,-0.116556,0.165224,-0.115398,-0.220674,-0.0914908,-0.0977841,-0.105245,-0.0968775,NA,-0.0735209,-0.116744
"123",NA,"Main_RecrDev_1981",-0.0311192,0.064968,0.036114,-0.0185911,0.268516,-0.0405881,-0.124303,-0.00631756,-0.0246579,-0.0311854,-0.0245072,NA,-0.00219549,-0.0397622
"124",NA,"Main_RecrDev_1982",-0.258047,-0.170541,-0.206728,-0.270767,-0.0276868,-0.267525,-0.414378,-0.205989,-0.256467,-0.258098,-0.25454,NA,-0.225368,-0.266439
"125",NA,"Main_RecrDev_1983",0.280422,0.378786,0.342657,0.337903,0.602252,0.272379,0.229114,0.29061,0.276429,0.280357,0.279866,NA,0.306972,0.275883
"126",NA,"Main_RecrDev_1984",-0.0816662,0.00285565,-0.0211272,0.0320798,0.231499,-0.089698,-0.184632,-0.0229264,-0.0890189,-0.0817202,-0.0841239,NA,-0.0507377,-0.0851679
"127",NA,"Main_RecrDev_1985",0.156995,0.249316,0.203655,0.309557,0.504804,0.15002,0.0508224,0.173545,0.146221,0.156938,0.151844,NA,0.183638,0.155622
