"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"70",NA,"Charter",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,"Trawl",1,NA,1,1,NA,NA,1,1,1,1
"77",NA,"NonTRWL",1,NA,1,1,NA,NA,1,1,1,1
"78",NA,"Recreational",1,NA,1,1,NA,NA,1,1,1,1
"79",NA,"Tagging",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,"Nearshore_survey",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,"OCNMS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,"OCNMS_YOY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"Private_Boat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,"Charter",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,"NatM_uniform_Fem_GP_1",0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"90",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0
"91",NA,"L_at_Amax_Fem_GP_1",52.7248,51.19,54.0525,56.0091,51.19,51.19,56.2875,52.1621,53.1166,52.3579
"92",NA,"VonBert_K_Fem_GP_1",0.117704,0.1695,0.10998,0.105093,0.1513,0.1513,0.102739,0.115761,0.11918,0.117286
"93",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"94",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"95",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,1e-05,1e-05,1e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05
"96",NA,"Wtlen_2_Fem_GP_1",2.72122,3,3,3,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
"97",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"98",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"99",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1e-05,1e-05,1e-05,1.40671e-08,1.40671e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"100",NA,"Eggs_exp_len_Fem_GP_1",4.685,3,3,3,4.685,4.685,4.685,4.685,4.685,4.685
"101",NA,"NatM_uniform_Mal_GP_1",0.152,0.2,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
"102",NA,"L_at_Amin_Mal_GP_1",3.66175,3.7555,3.7555,3.7555,3.64731,3.64731,3.66175,3.66175,3.66175,3.66175
"103",NA,"L_at_Amax_Mal_GP_1",47.6445,47.26,47.4081,49.2784,47.26,47.26,48.8835,47.2215,48.262,47.2752
"104",NA,"VonBert_K_Mal_GP_1",0.140318,0.1656,0.141219,0.132184,0.1656,0.1656,0.131923,0.13443,0.140676,0.139494
"105",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"106",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"107",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,1.003e-05,1.003e-05,1.003e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05
"108",NA,"Wtlen_2_Mal_GP_1",2.91062,3,3,3,2.91,2.91,2.91062,2.91062,2.91062,2.91062
"109",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1
"110",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"111",NA,"SR_LN(R0)",7.58738,9.18574,8.414,9.03053,7.12142,7.16329,7.39219,7.57935,7.44811,7.56225
"112",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"113",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.6
"114",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0
"115",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0
"116",NA,"Main_RecrDev_1956",-0.545695,NA,NA,NA,NA,-0.183598,NA,-0.432947,NA,-0.4533
"117",NA,"Main_RecrDev_1957",-0.560537,NA,NA,NA,NA,-0.193006,NA,-0.454139,NA,-0.471191
"118",NA,"Main_RecrDev_1958",-0.556859,NA,NA,NA,NA,-0.201619,NA,-0.454309,NA,-0.470791
"119",NA,"Main_RecrDev_1959",-0.526746,NA,NA,NA,NA,-0.209377,NA,-0.421565,NA,-0.443299
"120",NA,"Main_RecrDev_1960",-0.465706,NA,NA,NA,NA,-0.215723,NA,-0.348761,NA,-0.383231
"121",NA,"Main_RecrDev_1961",-0.375272,NA,NA,NA,NA,-0.219946,NA,-0.242791,NA,-0.291943
"122",NA,"Main_RecrDev_1962",-0.274828,NA,NA,NA,NA,-0.220801,NA,-0.150718,NA,-0.191886
"123",NA,"Main_RecrDev_1963",-0.224938,NA,NA,NA,NA,-0.217865,NA,-0.163418,NA,-0.148633
"124",NA,"Main_RecrDev_1964",-0.27709,NA,NA,NA,NA,-0.210176,NA,-0.282934,NA,-0.208961
"125",NA,"Main_RecrDev_1965",-0.337552,NA,NA,NA,NA,-0.197204,NA,-0.379665,NA,-0.276294
"126",NA,"Main_RecrDev_1966",-0.312351,NA,NA,NA,NA,-0.179877,NA,-0.3686,NA,-0.257597
"127",NA,"Main_RecrDev_1967",-0.106177,NA,NA,NA,NA,-0.162076,NA,-0.168161,NA,-0.0615993
"128",NA,"Main_RecrDev_1968",0.151414,NA,NA,NA,NA,-0.150963,NA,0.101118,NA,0.167055
"129",NA,"Main_RecrDev_1969",-0.141659,NA,NA,NA,NA,-0.152812,NA,-0.138218,NA,-0.0874726
"130",NA,"Main_RecrDev_1970",-0.17055,NA,NA,NA,NA,-0.162267,NA,-0.231642,NA,-0.131192
"131",NA,"Main_RecrDev_1971",0.0169809,NA,NA,NA,NA,-0.156816,NA,-0.0404898,NA,0.0253158
"132",NA,"Main_RecrDev_1972",-0.0745927,NA,NA,NA,NA,-0.113251,NA,-0.047351,NA,-0.0401686
"133",NA,"Main_RecrDev_1973",0.314781,NA,NA,NA,NA,-0.0266281,NA,0.146104,NA,0.284476
"134",NA,"Main_RecrDev_1974",0.386593,NA,NA,NA,NA,0.106897,NA,0.200943,NA,0.281254
"135",NA,"Main_RecrDev_1975",-0.246225,NA,NA,NA,NA,0.322673,NA,-0.488434,NA,-0.312628
"136",NA,"Main_RecrDev_1976",0.0323996,NA,NA,NA,NA,1.26487,NA,-0.188885,NA,-0.094385
"137",NA,"Main_RecrDev_1977",-0.0788549,NA,NA,NA,NA,0.878518,NA,-0.19178,NA,-0.151646
