"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"239",NA,"InitF_seas_1_flt_3Fishery3",NA,3.41394e-10,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,"Size_DblN_peak_Fishery1(1)",NA,54.2194,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,"Size_DblN_top_logit_Fishery1(1)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,"Size_DblN_ascend_se_Fishery1(1)",NA,4.08737,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,"Size_DblN_descend_se_Fishery1(1)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,"Size_DblN_start_logit_Fishery1(1)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,"Size_DblN_end_logit_Fishery1(1)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,"Size_DblN_peak_Fishery2(2)",NA,53.8229,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,"Size_DblN_top_logit_Fishery2(2)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,"Size_DblN_ascend_se_Fishery2(2)",NA,4.99246,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,"Size_DblN_descend_se_Fishery2(2)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,"Size_DblN_start_logit_Fishery2(2)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,"Size_DblN_end_logit_Fishery2(2)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,"Size_DblN_peak_Fishery3(3)",NA,45.0353,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,"Size_DblN_top_logit_Fishery3(3)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,"Size_DblN_ascend_se_Fishery3(3)",NA,4.13151,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,"Size_DblN_descend_se_Fishery3(3)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,"Size_DblN_start_logit_Fishery3(3)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,"Size_DblN_end_logit_Fishery3(3)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"258","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,"SB0",949.374,7910.77,2504.4,5108.92,898.809,937.243,959.21,919.298,951.424,956.032
"260",NA,"SSB_2023",439.546,2811,474.674,1253.05,229.878,142.912,225.235,219.678,225.457,354.391
"261",NA,"Bratio_2023",0.462985,0.355339,0.189536,0.245267,0.255759,0.152481,0.234813,0.238963,0.236968,0.370689
"262",NA,"MSY_SPR",277.57,869.226,392.373,746.95,235.053,245.881,225.689,256.644,230.041,268.519
"263",NA,"F_SPR",0.0483201,0.0586756,0.0567479,0.0577473,0.0571031,0.0571556,0.0478038,0.0478949,0.043943,0.0487329
