"","Label","Type","0- Reference model","01- old dockside","02- old dockside no xvar","03- private boat no xvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- old catch"
"51",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"ALL",3091.62,3092.63,3175.22,3091.6,3090.46,3090.98,3090.4,3090.81,3091.61,3091.73,3091.55,16489.3,35015.6,2299.35,3089.51
"54",NA,"Trawl",264.159,262.87,246.831,264.16,265.222,265.273,266.342,263.388,264.168,264.016,264.137,2396.51,4458.65,634.049,259.013
"55",NA,"NonTRWL",957.05,957.875,1008.65,957.026,956.332,955.448,955.379,957.848,957.02,957.092,957.044,1878.15,3713.61,531.359,957.411
"56",NA,"Recreational",1870.41,1871.89,1919.73,1870.41,1868.9,1870.26,1868.68,1869.57,1870.42,1870.62,1870.37,12214.7,26843.3,1133.94,1873.09
"57",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"62",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"63",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"74",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"75",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,"NatM_uniform_Fem_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"78",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",NA,"L_at_Amax_Fem_GP_1",52.7262,52.7281,52.7655,52.7248,52.7175,52.7248,52.718,52.7226,52.7248,52.7232,52.7243,56.3403,56.4023,52.2192,52.7493
"80",NA,"VonBert_K_Fem_GP_1",0.117701,0.117733,0.118257,0.117704,0.11763,0.117666,0.117617,0.117711,0.117703,0.117712,0.117706,0.103403,0.103148,0.121536,0.117762
