,Label,Type,00- Reference model,01- dockside '15,02- dockside '15 noxvar,03- private boat noxvar,04- no private boat,05- no charter,06- no dockside indices,07- no tag index,08- no nearshore,09- no OCMNS,10- no YOY,11- no data wts,12- Dirichlet,13- McA_I,14- 2015 Ct,"15-2015 Ct, ds noxvar",16- Sex = 3
81,NA,CV_young_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
82,NA,CV_old_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
91,NA,L_at_Amax_Mal_GP_1,47.6527,47.6558,47.7186,47.6532,47.639,47.6523,47.633,47.638,47.6531,47.6512,47.6524,48.8717,48.8992,47.5427,47.6393,47.707,47.0242
92,NA,VonBert_K_Mal_GP_1,0.140352,0.140416,0.140811,0.140367,0.140382,0.140327,0.140461,0.140574,0.140363,0.140394,0.140377,0.133339,0.133056,0.141857,0.140551,0.141112,0.140538
99,NA,SR_LN(R0),7.58041,7.5711,7.57172,7.5884,7.53381,7.58783,7.54362,7.53278,7.58934,7.57926,7.58539,7.54278,7.56755,7.58224,7.75844,7.73557,7.64778
100,NA,SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
175,NA,LnQ_base_Tagging(4),-5.59542,-5.61387,-5.97591,-5.59947,-5.49188,-5.58538,-5.49783,-5.55102,-5.6,-5.59068,-5.59672,-5.63962,-5.66189,-5.82668,-5.66713,-6.07091,-5.54942
176,NA,LnQ_base_Nearshore_survey(5),-6.66945,-6.74063,-6.96466,-6.81631,-6.49136,-6.79777,-6.5536,-6.53594,-6.8153,-6.77636,-6.80453,-7.52703,-7.29422,-7.57464,-7.0507,-7.10319,-7.01394
177,NA,Q_extraSD_Nearshore_survey(5),0.119925,0.115945,0.114093,0.116907,0.114079,0.116948,0.114517,0.11307,0.12012,0.115809,0.116405,0.118561,0.12292,0.114174,0.120227,0.116706,0.123011
178,NA,LnQ_base_OCNMS(6),-7.38641,-7.36765,-7.52124,-7.43092,-7.07096,-7.41621,-7.25161,-7.23536,-7.43405,-7.39664,-7.4206,-7.68517,-7.8239,-7.76228,-7.6286,-7.66329,-7.63246
179,NA,LnQ_base_OCNMS_YOY(7),-6.5593,-6.52989,-6.60358,-6.57505,-6.40486,-6.56774,-6.41916,-6.40113,-6.5788,-6.54274,-6.56175,-6.661,-6.73395,-6.65975,-6.77176,-6.75297,-6.74372
180,NA,Q_extraSD_OCNMS_YOY(7),1.80083,1.81251,1.81414,1.804,1.83233,1.80537,1.84345,1.84842,1.80248,1.81512,1.79671,1.77985,1.77577,1.81522,1.7948,1.80477,1.76253
181,NA,LnQ_base_Private_Boat(8),-6.24349,NA,NA,-6.25294,-6.17544,-6.2407,-6.17856,-6.20967,-6.25327,-6.24652,-6.25092,-6.3424,-6.35982,-6.38825,-6.33121,NA,-6.18485
182,NA,Q_extraSD_Private_Boat(8),0.376871,NA,NA,0.371005,0.398414,0.376226,0.379312,0.410382,0.370657,0.375645,0.372474,0.323011,0.304445,0.239376,0.370339,NA,0.319494
183,NA,LnQ_base_Charter(9),-5.73231,NA,NA,-5.73451,-5.73267,-5.72636,-5.7269,-5.7364,-5.73441,-5.73397,-5.73436,-5.76402,-5.76229,-5.70537,-5.80836,NA,-5.59357
184,NA,Q_extraSD_Charter(9),0.138742,NA,NA,0.138545,0.145666,0.142897,0.141285,0.136832,0.138526,0.138754,0.138643,0.0930918,0.0940591,0.0822835,0.149789,NA,0.139309
221,NA,LnQ_base_Dockside(8),NA,-5.58943,-5.84578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.93982,NA
222,NA,Q_extraSD_Dockside(8),NA,0.171681,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
185,NA,Size_DblN_peak_Trawl(1),50.0229,50.0206,50.127,50.021,50.0557,50.0056,50.038,50.0437,50.0206,50.0248,50.022,49.7036,49.7041,50.3605,50.1588,50.2026,49.9371
186,NA,Size_DblN_top_logit_Trawl(1),0.809232,0.827191,0.95941,0.805866,0.80469,0.791047,0.787659,0.825756,0.805762,0.809996,0.80675,2.10924,2.10948,1.97928,0.919145,1.31464,1.92108
187,NA,Size_DblN_ascend_se_Trawl(1),3.4629,3.46072,3.4655,3.46285,3.47052,3.46123,3.46916,3.46613,3.46277,3.46331,3.463,3.45317,3.4527,3.4641,3.48553,3.48487,3.41727
191,NA,Size_DblN_peak_NonTRWL(2),48.8261,48.813,48.706,48.825,48.869,48.8163,48.861,48.8351,48.8298,48.8275,48.826,47.8073,47.7676,49.3089,48.7998,48.8145,48.141
192,NA,Size_DblN_top_logit_NonTRWL(2),1.95482,1.9566,-0.887231,-0.745305,-0.834419,-0.644683,-0.872621,-0.814633,-0.742455,-0.803625,-0.801104,-0.923809,2.25238,1.9029,-0.908355,-1.07599,-0.744315
