"","Label","Type","Reference Model","01-Length Only","02-C+L","03-C+L Francis","04-C+L+A","05-C+L+A+I","06-C+L+A+I-extra var","07-C+L+A+I+estLH-extra var","08-Ref Mod with Dirichlet","09-Ref Mod with McI","10-Ref Mod -data wt","11-Ref Mod with CARE age error","12. Use Sex=3"
"222",NA,"Main_RecrDev_1950",NA,NA,NA,NA,NA,NA,NA,NA,-0.0820892,-0.0920886,-0.080679,NA,NA
"223",NA,"Main_RecrDev_1951",NA,NA,NA,NA,NA,NA,NA,NA,-0.0865324,-0.0969882,-0.0850727,NA,NA
"224",NA,"Main_RecrDev_1952",NA,NA,NA,NA,NA,NA,NA,NA,-0.0911449,-0.102087,-0.0896576,NA,NA
"225",NA,"Main_RecrDev_1953",NA,NA,NA,NA,NA,NA,NA,NA,-0.0955119,-0.106955,-0.093967,NA,NA
"226",NA,"Main_RecrDev_1954",NA,NA,NA,NA,NA,NA,NA,NA,-0.097801,-0.110591,-0.0962311,NA,NA
"227",NA,"Main_RecrDev_1955",NA,NA,NA,NA,NA,NA,NA,NA,0.0364546,-0.0237707,0.0385665,NA,NA
"228",NA,"Main_RecrDev_1956",NA,NA,NA,NA,NA,NA,NA,NA,-0.0797996,-0.103471,-0.078102,NA,NA
"229",NA,"Main_RecrDev_1957",NA,NA,NA,NA,NA,NA,NA,NA,-0.073041,-0.101293,-0.0712238,NA,NA
"230",NA,"Main_RecrDev_1958",NA,NA,NA,NA,NA,NA,NA,NA,-0.0891444,-0.113375,-0.0873133,NA,NA
"231",NA,"Main_RecrDev_1959",NA,NA,NA,NA,NA,NA,NA,NA,-0.116168,-0.132614,-0.114357,NA,NA
"232",NA,"Main_RecrDev_1960",NA,NA,NA,NA,NA,NA,NA,NA,0.0262649,-0.049792,0.0286749,NA,NA
"233",NA,"Main_RecrDev_1961",NA,NA,NA,NA,NA,NA,NA,NA,0.357999,0.158014,0.361733,NA,NA
"234",NA,"ln(DM_theta)_1",NA,NA,NA,NA,NA,NA,NA,NA,5.51182,NA,NA,NA,NA
"235",NA,"ln(DM_theta)_2",NA,NA,NA,NA,NA,NA,NA,NA,3.20069,NA,NA,NA,NA
"236",NA,"ln(DM_theta)_3",NA,NA,NA,NA,NA,NA,NA,NA,7.95279,NA,NA,NA,NA
"237",NA,"ln(DM_theta)_4",NA,NA,NA,NA,NA,NA,NA,NA,8.17622,NA,NA,NA,NA
"9","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,"SB0",29.2386,1161.21,19.789,20.4119,58.1345,58.0759,49.6669,31.7133,31.1395,28.6086,31.2871,28.9057,31.7551
"239",NA,"SSB_2021",21.3531,9881.18,6.06074,6.74858,45.2031,45.0279,36.1597,20.2263,22.0579,20.8069,22.0659,20.6017,22.7846
"240",NA,"Bratio_2021",0.730305,0.426035,0.306269,0.33062,0.777561,0.775329,0.728045,0.637785,0.708357,0.727296,0.705272,0.712723,0.717508
"241",NA,"MSY_SPR",7.94547,1679.88,6.98483,7.17904,19.4558,19.2778,15.942,12.1671,6.94385,7.8919,6.90392,7.93389,7.8651
"242",NA,"F_SPR",0.0522769,0.118542,0.0942881,0.0925522,0.072586,0.0724439,0.0699296,0.0746463,0.0467317,0.0521132,0.0464476,0.0520726,0.0501003
