"","Label","Type","Reference Model","01-Length Only","02-C+L","03-C+L Francis","04-C+L+A","05-C+L+A+I","06-C+L+A+I-extra var","07-C+L+A+I+estLH-extra var","08-Ref Mod with Dirichlet","09-Ref Mod with McI","10-Ref Mod -data wt","11-Ref Mod with CARE age error","12. Use Sex=3"
"82",NA,"Main_RecrDev_1974",-0.447181,NA,NA,NA,NA,NA,NA,NA,-0.313505,-0.273763,-0.31417,-0.502353,-0.454791
"83",NA,"Main_RecrDev_1975",-0.616678,NA,NA,NA,NA,NA,NA,NA,-0.45349,-0.370749,-0.454552,-0.496841,-0.622883
"84",NA,"Main_RecrDev_1976",-0.41339,NA,NA,NA,NA,NA,NA,NA,-0.307114,-0.269177,-0.308699,-0.440182,-0.418136
"85",NA,"Main_RecrDev_1977",-0.245819,NA,NA,NA,NA,NA,NA,NA,-0.179723,-0.153941,-0.181796,-0.288432,-0.250437
"86",NA,"Main_RecrDev_1978",0.0830828,NA,NA,NA,NA,NA,NA,NA,0.107051,0.0755,0.104814,0.0459679,0.080428
"87",NA,"Main_RecrDev_1979",0.918223,NA,NA,NA,NA,NA,NA,NA,0.782091,0.612495,0.777569,0.835598,0.916037
"88",NA,"Main_RecrDev_1980",0.0533457,NA,NA,NA,NA,NA,NA,NA,0.0484228,0.052682,0.0446065,0.283529,0.0562011
"89",NA,"Main_RecrDev_1981",-0.293023,NA,NA,NA,NA,NA,NA,NA,-0.251004,-0.183197,-0.254825,-0.0901711,-0.286879
"90",NA,"Main_RecrDev_1982",0.0956648,NA,NA,NA,NA,NA,NA,NA,-0.00115489,0.00787422,-0.00691666,-0.282318,0.105816
"91",NA,"Main_RecrDev_1983",-0.696091,NA,NA,NA,NA,NA,NA,NA,-0.61415,-0.450709,-0.618657,-0.495412,-0.688883
"92",NA,"Main_RecrDev_1984",-0.5442,NA,NA,NA,NA,NA,NA,NA,-0.531073,-0.407158,-0.536439,-0.525266,-0.533375
"93",NA,"Main_RecrDev_1985",-0.318767,NA,NA,NA,NA,NA,NA,NA,-0.342937,-0.237145,-0.348928,-0.331303,-0.305362
"94",NA,"Main_RecrDev_1986",0.271406,NA,NA,NA,NA,NA,NA,NA,0.125021,0.154544,0.118565,0.112595,0.291092
"95",NA,"Main_RecrDev_1987",-0.120401,NA,NA,NA,NA,NA,NA,NA,-0.180365,-0.0847051,-0.186727,0.107172,-0.109176
"96",NA,"Main_RecrDev_1988",-0.149074,NA,NA,NA,NA,NA,NA,NA,-0.225252,-0.174376,-0.229795,-0.344728,-0.133964
"97",NA,"Main_RecrDev_1989",-0.394387,NA,NA,NA,NA,NA,NA,NA,-0.370686,-0.317483,-0.372173,-0.25963,-0.37982
"98",NA,"Main_RecrDev_1990",-0.0374189,NA,NA,NA,NA,NA,NA,NA,-0.0683994,-0.104912,-0.0697712,-0.109946,-0.0220668
"99",NA,"Main_RecrDev_1991",-0.035112,NA,NA,NA,NA,NA,NA,NA,-0.0091051,0.0234626,-0.0169759,-0.0110963,-0.0283866
"100",NA,"Main_RecrDev_1992",0.97591,NA,NA,NA,NA,NA,NA,NA,1.10976,0.773132,1.12114,0.702716,1.0067
"101",NA,"Main_RecrDev_1993",1.90433,NA,NA,NA,NA,NA,NA,NA,1.91304,1.85085,1.91155,2.07797,1.88058
"102",NA,"Main_RecrDev_1994",1.85471,NA,NA,NA,NA,NA,NA,NA,1.857,1.76068,1.85697,1.69226,1.86002
"103",NA,"Main_RecrDev_1995",0.793535,NA,NA,NA,NA,NA,NA,NA,0.800301,0.760919,0.800927,0.876373,0.773696
"104",NA,"Main_RecrDev_1996",0.667759,NA,NA,NA,NA,NA,NA,NA,0.552287,0.618645,0.546252,0.658665,0.661807
"105",NA,"Main_RecrDev_1997",0.384469,NA,NA,NA,NA,NA,NA,NA,0.36215,0.361973,0.356789,0.318436,0.366573
"106",NA,"Main_RecrDev_1998",1.75806,NA,NA,NA,NA,NA,NA,NA,1.99598,1.61318,2.00605,1.75376,1.74996
"107",NA,"Main_RecrDev_1999",0.759222,NA,NA,NA,NA,NA,NA,NA,0.688564,0.671217,0.687212,0.680337,0.786321
"108",NA,"Main_RecrDev_2000",-0.38282,NA,NA,NA,NA,NA,NA,NA,-0.379787,-0.34893,-0.381748,-0.213625,-0.393211
"109",NA,"Main_RecrDev_2001",-0.524482,NA,NA,NA,NA,NA,NA,NA,-0.451677,-0.53405,-0.449691,-0.569072,-0.513694
"110",NA,"Main_RecrDev_2002",-0.625526,NA,NA,NA,NA,NA,NA,NA,-0.510606,-0.634937,-0.505561,-0.575649,-0.65855
"111",NA,"Main_RecrDev_2003",-0.956982,NA,NA,NA,NA,NA,NA,NA,-0.786852,-0.840805,-0.781787,-1.09772,-0.999535
"112",NA,"Main_RecrDev_2004",-0.782526,NA,NA,NA,NA,NA,NA,NA,-0.775618,-0.629878,-0.778227,-0.914052,-0.787271
"113",NA,"Main_RecrDev_2005",1.25801,NA,NA,NA,NA,NA,NA,NA,1.21603,1.23096,1.21578,1.22451,1.20402
"114",NA,"Main_RecrDev_2006",0.246718,NA,NA,NA,NA,NA,NA,NA,0.225119,0.242308,0.229168,0.34844,0.251717
"115",NA,"Main_RecrDev_2007",-0.449496,NA,NA,NA,NA,NA,NA,NA,-0.681566,-0.348058,-0.690324,-0.437974,-0.426753
"116",NA,"Main_RecrDev_2008",-0.59858,NA,NA,NA,NA,NA,NA,NA,-0.807455,-0.453641,-0.81529,-0.593629,-0.569778
"117",NA,"Main_RecrDev_2009",-0.0521774,NA,NA,NA,NA,NA,NA,NA,-0.205314,-0.0238074,-0.206365,-0.0880016,-0.0715803
"118",NA,"Main_RecrDev_2010",-0.310991,NA,NA,NA,NA,NA,NA,NA,-0.428672,-0.247355,-0.433484,-0.318204,-0.314964
"119",NA,"Main_RecrDev_2011",-0.730176,NA,NA,NA,NA,NA,NA,NA,-0.656802,-0.555812,-0.65749,-0.613349,-0.705292
"120",NA,"Main_RecrDev_2012",0.514015,NA,NA,NA,NA,NA,NA,NA,0.436207,0.445642,0.436143,0.412605,0.528176
"121",NA,"Main_RecrDev_2013",-0.359689,NA,NA,NA,NA,NA,NA,NA,-0.555789,-0.193256,-0.564177,-0.0208498,-0.32607
"122",NA,"Main_RecrDev_2014",0.822985,NA,NA,NA,NA,NA,NA,NA,0.593198,0.598423,0.585802,0.931019,0.902926
"123",NA,"Main_RecrDev_2015",1.73797,NA,NA,NA,NA,NA,NA,NA,1.88035,1.21915,1.90642,1.5169,1.66583
"124",NA,"Main_RecrDev_2016",-0.323511,NA,NA,NA,NA,NA,NA,NA,-0.171886,-0.163246,-0.172803,-0.365756,-0.292152
"125",NA,"Main_RecrDev_2017",-0.0639443,NA,NA,NA,NA,NA,NA,NA,0.0289061,-0.00413696,0.027111,-0.0722315,-0.067149
"126",NA,"Main_RecrDev_2018",-0.074813,NA,NA,NA,NA,NA,NA,NA,-0.00928363,-0.00721904,-0.00945415,-0.0801702,-0.0767388
"127",NA,"Main_RecrDev_2019",-0.074801,NA,NA,NA,NA,NA,NA,NA,-0.00933274,-0.00721685,-0.00938777,-0.080167,-0.0767303
"128",NA,"Main_RecrDev_2020",-0.0748011,NA,NA,NA,NA,NA,NA,NA,-0.00933395,-0.00721685,-0.00938765,-0.080167,-0.0767304
"129",NA,"ForeRecr_2021",0,0,0,0,0,0,0,0,0,0,0,0,0
"130",NA,"ForeRecr_2022",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,"Impl_err_2021",0,0,0,0,0,0,0,0,0,0,0,0,0
"132",NA,"Impl_err_2022",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,"InitF_seas_1_flt_1Commercial",1e-20,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"134",NA,"InitF_seas_1_flt_2Recreational",1e-20,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"135",NA,"LnQ_base_Recreational(2)",-5.72253,NA,NA,NA,NA,-6.19296,-5.94316,-5.55069,-5.65962,-5.69862,-5.65438,-5.70234,-5.73354
"136",NA,"Q_extraSD_Recreational(2)",0.0812333,NA,NA,NA,NA,0.0492598,NA,0.0485654,0.0823818,0.068997,0.0822637,0.0798529,0.0836149
"137",NA,"Size_DblN_peak_Commercial(1)",43.6701,NA,55.4673,55.2857,48.5987,48.1163,48.6565,47.57,43.365,44.0037,43.3304,43.6715,43.4854
"138",NA,"Size_DblN_top_logit_Commercial(1)",15,NA,15,15,15,15,15,15,15,15,15,15,15
"139",NA,"Size_DblN_ascend_se_Commercial(1)",3.72801,NA,4.95573,4.96082,4.46508,4.38696,4.46087,4.31718,3.66432,3.80929,3.65235,3.73962,3.70332
"140",NA,"Size_DblN_descend_se_Commercial(1)",-15,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"141",NA,"Size_DblN_start_logit_Commercial(1)",-15,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"142",NA,"Size_DblN_end_logit_Commercial(1)",15,NA,15,15,15,15,15,15,15,15,15,15,15
"143",NA,"Size_DblN_peak_Recreational(2)",44.443,NA,53.5876,53.2778,48.7065,48.744,49.1201,48.3685,44.3598,44.9096,44.3287,44.2872,44.076
"144",NA,"Size_DblN_top_logit_Recreational(2)",15,NA,15,15,15,15,15,15,15,15,15,15,15
"145",NA,"Size_DblN_ascend_se_Recreational(2)",4.29769,NA,4.92273,4.9143,4.68976,4.69314,4.72194,4.66069,4.2704,4.38643,4.26299,4.2831,4.25033
"146",NA,"Size_DblN_descend_se_Recreational(2)",-15,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"147",NA,"Size_DblN_start_logit_Recreational(2)",-15,NA,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"148",NA,"Size_DblN_end_logit_Recreational(2)",15,NA,15,15,15,15,15,15,15,15,15,15,15
"149",NA,"InitF_seas_1_flt_1Fishery1",NA,3.06858e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,"InitF_seas_1_flt_2Fishery2",NA,2.65263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,"Size_DblN_peak_Fishery1(1)",NA,57.7748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",NA,"Size_DblN_top_logit_Fishery1(1)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",NA,"Size_DblN_ascend_se_Fishery1(1)",NA,5.08986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,"Size_DblN_descend_se_Fishery1(1)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,"Size_DblN_start_logit_Fishery1(1)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,"Size_DblN_end_logit_Fishery1(1)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,"Size_DblN_peak_Fishery2(2)",NA,55.7686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,"Size_DblN_top_logit_Fishery2(2)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,"Size_DblN_ascend_se_Fishery2(2)",NA,5.02246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,"Size_DblN_descend_se_Fishery2(2)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,"Size_DblN_start_logit_Fishery2(2)",NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,"Size_DblN_end_logit_Fishery2(2)",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,"Early_InitAge_1",NA,NA,NA,NA,NA,NA,NA,NA,-0.00279608,-0.00284559,-0.00273841,NA,NA
"164",NA,"Main_RecrDev_1892",NA,NA,NA,NA,NA,NA,NA,NA,-0.0122682,-0.0102204,-0.0122624,NA,NA
"165",NA,"Main_RecrDev_1893",NA,NA,NA,NA,NA,NA,NA,NA,-0.0124381,-0.0104087,-0.0124328,NA,NA
"166",NA,"Main_RecrDev_1894",NA,NA,NA,NA,NA,NA,NA,NA,-0.012633,-0.0106088,-0.0126135,NA,NA
"167",NA,"Main_RecrDev_1895",NA,NA,NA,NA,NA,NA,NA,NA,-0.0128255,-0.0108212,-0.0128048,NA,NA
"168",NA,"Main_RecrDev_1896",NA,NA,NA,NA,NA,NA,NA,NA,-0.0130356,-0.0110467,-0.0130073,NA,NA
"169",NA,"Main_RecrDev_1897",NA,NA,NA,NA,NA,NA,NA,NA,-0.0132568,-0.0112862,-0.0132217,NA,NA
"170",NA,"Main_RecrDev_1898",NA,NA,NA,NA,NA,NA,NA,NA,-0.0134801,-0.0115404,-0.0134487,NA,NA
"171",NA,"Main_RecrDev_1899",NA,NA,NA,NA,NA,NA,NA,NA,-0.0137277,-0.0118103,-0.0136892,NA,NA
"172",NA,"Main_RecrDev_1900",NA,NA,NA,NA,NA,NA,NA,NA,-0.0139925,-0.0120967,-0.0139438,NA,NA
"173",NA,"Main_RecrDev_1901",NA,NA,NA,NA,NA,NA,NA,NA,-0.0142646,-0.0124007,-0.0142133,NA,NA
"174",NA,"Main_RecrDev_1902",NA,NA,NA,NA,NA,NA,NA,NA,-0.0145673,-0.0127233,-0.0144986,NA,NA
"175",NA,"Main_RecrDev_1903",NA,NA,NA,NA,NA,NA,NA,NA,-0.014868,-0.0130656,-0.0148006,NA,NA
"176",NA,"Main_RecrDev_1904",NA,NA,NA,NA,NA,NA,NA,NA,-0.0151989,-0.0134289,-0.0151205,NA,NA
"177",NA,"Main_RecrDev_1905",NA,NA,NA,NA,NA,NA,NA,NA,-0.015545,-0.0138144,-0.0154591,NA,NA
"178",NA,"Main_RecrDev_1906",NA,NA,NA,NA,NA,NA,NA,NA,-0.0159182,-0.0142233,-0.0158175,NA,NA
"179",NA,"Main_RecrDev_1907",NA,NA,NA,NA,NA,NA,NA,NA,-0.0163026,-0.0146571,-0.0161968,NA,NA
"180",NA,"Main_RecrDev_1908",NA,NA,NA,NA,NA,NA,NA,NA,-0.0167197,-0.0151173,-0.0165983,NA,NA
