"","Label","Type","00- Reference model","01- dockside '15","02- dockside '15 noxvar","03- private boat noxvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- 2015 Ct","15-2015 Ct, ds noxvar","16- Sex = 3"
"32",NA,"Recreational",329.717,328.116,324.114,330.198,329.942,330.615,330.496,327.781,330.266,329.725,330.089,372.544,1944.98,240.878,331.769,326.641,249.412
"33",NA,"Tagging",19.3462,18.7206,19.9801,18.9534,18.5045,18.8918,18.5761,18.3839,18.9608,18.8719,18.9274,23.9492,209.219,18.8991,19.4168,20.5588,19.7279
"34",NA,"Nearshore_survey",5.47608,2.65801,2.82714,2.65331,2.62135,2.64805,2.60632,2.61898,2.65301,2.64978,2.65445,29.9832,42.6618,29.246,2.6937,2.86121,2.54775
"35",NA,"OCNMS",106.122,105.971,106.576,106.014,111.001,106.037,107.513,107.438,106.032,105.918,105.98,1284.67,558.318,31.6109,106.059,105.561,106.617
"36",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"38",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"39",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"40","Lt_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45",NA,"Tagging",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46",NA,"Nearshore_survey",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",NA,"OCNMS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
